epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,1554.2,0.72858,0.82578,0.89549,0.97218,1,0.995,0.995,0.3548,0.72776,0.97522,0.0007328,0.0007328,0.0007328
130,1566.78,0.88791,0.84124,0.92444,0.9702,1,0.995,0.796,0.65182,0.80284,1.01903,0.0007229,0.0007229,0.0007229
131,1578.58,0.78907,0.87112,0.92436,0.9702,1,0.995,0.796,0.65182,0.80284,1.01903,0.000713,0.000713,0.000713
132,1590.74,0.78173,0.83527,0.85775,0.96892,1,0.995,0.6965,0.92166,0.83622,1.0841,0.0007031,0.0007031,0.0007031
133,1602.7,0.84785,0.89677,0.92514,0.96892,1,0.995,0.6965,0.92166,0.83622,1.0841,0.0006932,0.0006932,0.0006932
134,1614.77,0.71775,0.79621,0.86928,0.96926,1,0.995,0.796,0.88526,0.85772,1.06181,0.0006833,0.0006833,0.0006833
135,1626.93,0.63218,0.75924,0.8617,0.96926,1,0.995,0.796,0.88526,0.85772,1.06181,0.0006734,0.0006734,0.0006734
136,1638.88,0.67244,0.80266,0.90388,0.9698,1,0.995,0.8955,0.63266,0.78182,1.00986,0.0006635,0.0006635,0.0006635
137,1650.81,0.64326,0.7658,0.89861,0.9698,1,0.995,0.8955,0.63266,0.78182,1.00986,0.0006536,0.0006536,0.0006536
138,1662.57,0.65163,0.79516,0.87544,0.97105,1,0.995,0.995,0.27583,0.74199,0.97102,0.0006437,0.0006437,0.0006437
139,1674.84,0.69358,0.80098,0.88001,0.97105,1,0.995,0.995,0.27583,0.74199,0.97102,0.0006338,0.0006338,0.0006338
140,1686.87,0.71331,0.73372,0.89018,0.97102,1,0.995,0.8955,0.39717,0.65175,0.98669,0.0006239,0.0006239,0.0006239
141,1698.86,0.63662,0.75577,0.87464,0.97102,1,0.995,0.8955,0.39717,0.65175,0.98669,0.000614,0.000614,0.000614
142,1710.8,0.78963,0.77447,0.88724,0.97097,1,0.995,0.8955,0.48661,0.626,0.99751,0.0006041,0.0006041,0.0006041
143,1723.02,0.71736,0.80551,0.91011,0.97097,1,0.995,0.8955,0.48661,0.626,0.99751,0.0005942,0.0005942,0.0005942
144,1734.92,0.72558,0.83754,0.91065,0.97131,1,0.995,0.8955,0.62191,0.76051,1.05201,0.0005843,0.0005843,0.0005843
145,1746.87,0.66336,0.79523,0.88891,0.97131,1,0.995,0.8955,0.62191,0.76051,1.05201,0.0005744,0.0005744,0.0005744
146,1758.91,0.6789,0.81892,0.88461,0.97136,1,0.995,0.8955,0.61952,0.71778,1.07121,0.0005645,0.0005645,0.0005645
147,1770.79,0.65058,0.85367,0.89974,0.97136,1,0.995,0.8955,0.61952,0.71778,1.07121,0.0005546,0.0005546,0.0005546
148,1782.66,0.66509,0.77483,0.90122,0.97193,1,0.995,0.8955,0.64261,0.73411,1.01884,0.0005447,0.0005447,0.0005447
149,1794.61,0.68502,0.73625,0.87555,0.97193,1,0.995,0.8955,0.64261,0.73411,1.01884,0.0005348,0.0005348,0.0005348
150,1806.76,0.74855,0.78277,0.86792,0.97235,1,0.995,0.8955,0.63583,0.67039,0.98702,0.0005249,0.0005249,0.0005249
151,1818.75,0.67078,0.77484,0.89714,0.97235,1,0.995,0.8955,0.63583,0.67039,0.98702,0.000515,0.000515,0.000515
152,1831.06,0.6533,0.7687,0.86278,0.97291,1,0.995,0.8955,0.45578,0.62496,0.97095,0.0005051,0.0005051,0.0005051
153,1842.92,0.71641,0.72538,0.86832,0.97291,1,0.995,0.8955,0.45578,0.62496,0.97095,0.0004952,0.0004952,0.0004952
154,1855.38,0.68273,0.74598,0.9009,0.97256,1,0.995,0.995,0.27167,0.56147,0.96482,0.0004853,0.0004853,0.0004853
155,1867.42,0.73442,0.79047,0.90855,0.97256,1,0.995,0.995,0.27167,0.56147,0.96482,0.0004754,0.0004754,0.0004754
156,1879.48,0.67278,0.76521,0.84576,0.97275,1,0.995,0.8955,0.45619,0.56372,0.96341,0.0004655,0.0004655,0.0004655
157,1898.47,0.549,0.67051,0.85931,0.97275,1,0.995,0.8955,0.45619,0.56372,0.96341,0.0004556,0.0004556,0.0004556
158,1919.95,0.58655,0.70134,0.84155,0.9725,1,0.995,0.796,0.61736,0.5991,0.97304,0.0004457,0.0004457,0.0004457
159,1933.49,0.55172,0.65191,0.84323,0.9725,1,0.995,0.796,0.61736,0.5991,0.97304,0.0004358,0.0004358,0.0004358
160,1945.67,0.57833,0.70384,0.89041,0.97303,1,0.995,0.796,0.62752,0.58216,0.98198,0.0004259,0.0004259,0.0004259
161,1957.57,0.68162,0.71838,0.84944,0.97303,1,0.995,0.796,0.62752,0.58216,0.98198,0.000416,0.000416,0.000416
162,1971.89,0.58471,0.65692,0.85255,0.9733,1,0.995,0.796,0.62208,0.55573,0.98579,0.0004061,0.0004061,0.0004061
163,1984.45,0.49595,0.60849,0.86295,0.9733,1,0.995,0.796,0.62208,0.55573,0.98579,0.0003962,0.0003962,0.0003962
164,1996.37,0.65983,0.69995,0.87664,0.9731,1,0.995,0.8955,0.41994,0.51186,0.9663,0.0003863,0.0003863,0.0003863
165,2008.29,0.56036,0.76904,0.87116,0.9731,1,0.995,0.8955,0.41994,0.51186,0.9663,0.0003764,0.0003764,0.0003764
166,2020.28,0.5522,0.68582,0.84565,0.97345,1,0.995,0.8955,0.35433,0.61165,0.96848,0.0003665,0.0003665,0.0003665
167,2032.29,0.5988,0.69362,0.88509,0.97345,1,0.995,0.8955,0.35433,0.61165,0.96848,0.0003566,0.0003566,0.0003566
168,2044.47,0.58834,0.63955,0.85742,0.9734,1,0.995,0.8955,0.51268,0.60928,0.98201,0.0003467,0.0003467,0.0003467
169,2056.64,0.61533,0.65353,0.84653,0.9734,1,0.995,0.8955,0.51268,0.60928,0.98201,0.0003368,0.0003368,0.0003368
170,2068.34,0.6779,0.71555,0.87522,0.97374,1,0.995,0.8955,0.41794,0.59047,0.95674,0.0003269,0.0003269,0.0003269
171,2079.86,0.59326,0.65162,0.90731,0.97374,1,0.995,0.8955,0.41794,0.59047,0.95674,0.000317,0.000317,0.000317
172,2091.66,0.6238,0.68527,0.88356,0.9736,1,0.995,0.995,0.37077,0.60516,0.95346,0.0003071,0.0003071,0.0003071
173,2103.26,0.58251,0.65207,0.84816,0.9736,1,0.995,0.995,0.37077,0.60516,0.95346,0.0002972,0.0002972,0.0002972
174,2115.29,0.57729,0.64744,0.87197,0.97369,1,0.995,0.995,0.35492,0.69318,0.95238,0.0002873,0.0002873,0.0002873
175,2127.01,0.52207,0.61416,0.82757,0.97369,1,0.995,0.995,0.35492,0.69318,0.95238,0.0002774,0.0002774,0.0002774
176,2138.71,0.5474,0.63463,0.8278,0.97368,1,0.995,0.995,0.37837,0.71678,0.96335,0.0002675,0.0002675,0.0002675
177,2150.3,0.5902,0.74794,0.88781,0.97368,1,0.995,0.995,0.37837,0.71678,0.96335,0.0002576,0.0002576,0.0002576
178,2162.16,0.55441,0.6221,0.86707,0.97383,1,0.995,0.8955,0.38198,0.65429,0.97312,0.0002477,0.0002477,0.0002477
179,2173.88,0.53293,0.62179,0.86845,0.97383,1,0.995,0.8955,0.38198,0.65429,0.97312,0.0002378,0.0002378,0.0002378
180,2185.74,0.53484,0.62568,0.89394,0.97356,1,0.995,0.995,0.30624,0.63708,0.95032,0.0002279,0.0002279,0.0002279
181,2197.71,0.53896,0.68221,0.88488,0.97356,1,0.995,0.995,0.30624,0.63708,0.95032,0.000218,0.000218,0.000218
182,2209.76,0.46267,0.66045,0.843,0.97383,1,0.995,0.8955,0.4502,0.59847,0.95563,0.0002081,0.0002081,0.0002081
183,2221.91,0.64848,0.70499,0.8804,0.97383,1,0.995,0.8955,0.4502,0.59847,0.95563,0.0001982,0.0001982,0.0001982
184,2234.52,0.52259,0.73339,0.84509,0.97346,1,0.995,0.8955,0.67481,0.63649,0.97518,0.0001883,0.0001883,0.0001883
185,2246.86,0.62564,0.62999,0.86912,0.97346,1,0.995,0.8955,0.67481,0.63649,0.97518,0.0001784,0.0001784,0.0001784
186,2259.15,0.67932,0.66812,0.86205,0.97367,1,0.995,0.796,0.7389,0.66987,0.97998,0.0001685,0.0001685,0.0001685
187,2271.49,0.64289,0.66206,0.88689,0.97367,1,0.995,0.796,0.7389,0.66987,0.97998,0.0001586,0.0001586,0.0001586
188,2283.88,0.5792,0.65033,0.84441,0.97358,1,0.995,0.8955,0.62973,0.64959,0.95736,0.0001487,0.0001487,0.0001487
189,2296.02,0.55896,0.63566,0.83822,0.97358,1,0.995,0.8955,0.62973,0.64959,0.95736,0.0001388,0.0001388,0.0001388
190,2308.22,0.53796,0.6147,0.85751,0.97364,1,0.995,0.8955,0.43738,0.62627,0.9305,0.0001289,0.0001289,0.0001289
191,2320.01,0.49077,0.77168,0.81432,0.97364,1,0.995,0.8955,0.43738,0.62627,0.9305,0.000119,0.000119,0.000119
192,2331.72,0.48486,0.77148,0.8408,0.97371,1,0.995,0.995,0.27515,0.64559,0.91985,0.0001091,0.0001091,0.0001091
193,2343.36,0.48432,0.78608,0.85646,0.97371,1,0.995,0.995,0.27515,0.64559,0.91985,9.92e-05,9.92e-05,9.92e-05
