epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,86.8657,0.76915,1.2311,1.24573,0.7875,0.5,0.63786,0.51029,0.85679,2.74984,1.07552,0.000948176,0.000948176,0.000948176
78,88.1121,0.72672,1.07325,1.16973,0.00333,1,0.0995,0.04922,1.65929,3.69299,1.37001,0.000953029,0.000953029,0.000953029
79,89.268,0.71829,1.34358,1.13334,0.00333,1,0.0995,0.04922,1.65929,3.69299,1.37001,0.000957684,0.000957684,0.000957684
80,90.4378,0.60297,1.22578,1.05974,0.00333,1,0.0995,0.04922,1.65929,3.69299,1.37001,0.000962141,0.000962141,0.000962141
81,91.7452,0.6335,0.91409,1.03656,0.00333,1,0.01618,0.00389,2.8137,5.52626,2.07833,0.0009664,0.0009664,0.0009664
82,92.9132,0.73023,1.01006,1.07519,0.00333,1,0.01618,0.00389,2.8137,5.52626,2.07833,0.000970461,0.000970461,0.000970461
83,94.0461,0.75853,0.95074,0.99322,0.00333,1,0.01618,0.00389,2.8137,5.52626,2.07833,0.000974324,0.000974324,0.000974324
84,95.3429,0.66875,0.98999,0.96854,0.00333,1,0.02691,0.00613,2.78591,5.73025,1.88604,0.000977989,0.000977989,0.000977989
85,96.4333,0.54297,0.91102,0.93867,0.00333,1,0.02691,0.00613,2.78591,5.73025,1.88604,0.000981456,0.000981456,0.000981456
86,97.55,0.7697,0.9962,1.07339,0.00333,1,0.02691,0.00613,2.78591,5.73025,1.88604,0.000984725,0.000984725,0.000984725
87,98.7212,0.82879,1.22727,1.22931,0.00333,1,0.02691,0.00613,2.78591,5.73025,1.88604,0.000987796,0.000987796,0.000987796
88,99.8789,0.55181,0.83112,0.88771,0.00333,1,0.02713,0.01344,1.71026,4.37908,1.33039,0.000990669,0.000990669,0.000990669
89,100.938,0.63529,1.01392,1.03122,0.00333,1,0.02713,0.01344,1.71026,4.37908,1.33039,0.000993344,0.000993344,0.000993344
90,102.034,0.62993,0.94075,0.9789,0.00333,1,0.02713,0.01344,1.71026,4.37908,1.33039,0.000995821,0.000995821,0.000995821
91,103.102,0.46302,0.76567,0.80187,0.00333,1,0.02713,0.01344,1.71026,4.37908,1.33039,0.0009981,0.0009981,0.0009981
92,104.332,0.65704,1.31482,1.08672,0.08781,1,0.1207,0.05568,0.8674,3.16929,1.05077,0.00100018,0.00100018,0.00100018
93,105.575,0.7475,1.12295,1.07105,0.08781,1,0.1207,0.05568,0.8674,3.16929,1.05077,0.00100206,0.00100206,0.00100206
94,106.781,0.62944,1.1203,1.01065,0.08781,1,0.1207,0.05568,0.8674,3.16929,1.05077,0.00100375,0.00100375,0.00100375
95,107.848,0.52986,0.87228,1.04892,0.08781,1,0.1207,0.05568,0.8674,3.16929,1.05077,0.00100524,0.00100524,0.00100524
96,109.051,0.40756,0.86896,0.92169,0.09853,1,0.16583,0.09056,0.66212,2.89684,0.98477,0.00100653,0.00100653,0.00100653
97,110.192,0.52313,0.81544,1.02085,0.09853,1,0.16583,0.09056,0.66212,2.89684,0.98477,0.00100762,0.00100762,0.00100762
98,111.264,0.56693,0.96063,0.9826,0.09853,1,0.16583,0.09056,0.66212,2.89684,0.98477,0.00100851,0.00100851,0.00100851
99,112.421,0.6089,0.88836,0.92048,0.09853,1,0.16583,0.09056,0.66212,2.89684,0.98477,0.0010092,0.0010092,0.0010092
100,113.551,0.49125,0.78733,0.87969,1,0.85898,0.995,0.54174,0.63229,2.61999,0.92832,0.0010097,0.0010097,0.0010097
101,114.718,0.44015,0.69656,0.89224,1,0.85898,0.995,0.54174,0.63229,2.61999,0.92832,0.00101,0.00101,0.00101
102,115.926,0.55956,0.83697,0.87839,1,0.85898,0.995,0.54174,0.63229,2.61999,0.92832,0.0010001,0.0010001,0.0010001
103,117.02,0.68638,0.88261,1.04812,1,0.85898,0.995,0.54174,0.63229,2.61999,0.92832,0.0009902,0.0009902,0.0009902
104,118.147,0.51191,0.91502,0.93988,1,0.9921,0.995,0.84513,0.58089,1.98047,0.93122,0.0009803,0.0009803,0.0009803
105,119.219,0.50063,0.91879,1.07443,1,0.9921,0.995,0.84513,0.58089,1.98047,0.93122,0.0009704,0.0009704,0.0009704
106,120.364,0.59056,0.76895,0.95438,1,0.9921,0.995,0.84513,0.58089,1.98047,0.93122,0.0009605,0.0009605,0.0009605
107,121.459,0.6869,1.17437,1.1549,1,0.9921,0.995,0.84513,0.58089,1.98047,0.93122,0.0009506,0.0009506,0.0009506
108,122.573,0.57008,0.94931,0.95557,0.97982,1,0.995,0.94504,0.54567,1.76424,0.86238,0.0009407,0.0009407,0.0009407
109,123.692,0.68626,1.03502,1.05506,0.97982,1,0.995,0.94504,0.54567,1.76424,0.86238,0.0009308,0.0009308,0.0009308
110,124.869,0.95245,1.40955,1.29228,0.97982,1,0.995,0.94504,0.54567,1.76424,0.86238,0.0009209,0.0009209,0.0009209
111,125.98,0.58478,0.83637,0.99454,0.97982,1,0.995,0.94504,0.54567,1.76424,0.86238,0.000911,0.000911,0.000911
112,127.097,0.57877,0.85545,0.87565,0.98441,1,0.995,0.94504,0.54763,1.69808,0.87697,0.0009011,0.0009011,0.0009011
113,128.207,0.6605,0.74749,0.92228,0.98441,1,0.995,0.94504,0.54763,1.69808,0.87697,0.0008912,0.0008912,0.0008912
114,129.307,0.65903,0.8694,0.98789,0.98441,1,0.995,0.94504,0.54763,1.69808,0.87697,0.0008813,0.0008813,0.0008813
115,130.409,0.73288,0.91888,0.93576,0.98441,1,0.995,0.94504,0.54763,1.69808,0.87697,0.0008714,0.0008714,0.0008714
116,131.498,0.80316,0.9875,1.15986,0.98278,1,0.995,0.94504,0.40844,1.54535,0.81562,0.0008615,0.0008615,0.0008615
117,132.596,0.76135,0.96598,1.15089,0.98278,1,0.995,0.94504,0.40844,1.54535,0.81562,0.0008516,0.0008516,0.0008516
118,133.67,0.54443,0.82645,0.97176,0.98278,1,0.995,0.94504,0.40844,1.54535,0.81562,0.0008417,0.0008417,0.0008417
119,134.752,0.6197,0.8451,0.96299,0.98278,1,0.995,0.94504,0.40844,1.54535,0.81562,0.0008318,0.0008318,0.0008318
120,135.851,0.65236,1.07032,1.10387,0.97886,1,0.995,0.84554,0.47075,1.40357,0.82155,0.0008219,0.0008219,0.0008219
121,136.949,0.5042,0.98705,0.86847,0.97886,1,0.995,0.84554,0.47075,1.40357,0.82155,0.000812,0.000812,0.000812
122,138.087,0.55406,0.97223,1.0114,0.97886,1,0.995,0.84554,0.47075,1.40357,0.82155,0.0008021,0.0008021,0.0008021
123,139.263,0.45565,0.81413,0.95333,0.97886,1,0.995,0.84554,0.47075,1.40357,0.82155,0.0007922,0.0007922,0.0007922
124,140.511,0.5362,0.76935,0.92158,0.9766,1,0.995,0.84554,0.5378,1.26275,0.8728,0.0007823,0.0007823,0.0007823
125,141.641,0.46878,0.7783,0.83352,0.9766,1,0.995,0.84554,0.5378,1.26275,0.8728,0.0007724,0.0007724,0.0007724
126,142.995,0.65089,0.89413,0.96202,0.9766,1,0.995,0.84554,0.5378,1.26275,0.8728,0.0007625,0.0007625,0.0007625
127,144.398,0.52428,0.89036,0.96393,0.9766,1,0.995,0.84554,0.5378,1.26275,0.8728,0.0007526,0.0007526,0.0007526
128,145.554,0.62454,0.88602,1.01376,0.97723,1,0.995,0.60175,1.08653,1.91957,1.16388,0.0007427,0.0007427,0.0007427
129,146.682,0.58028,0.83244,0.85974,0.97723,1,0.995,0.60175,1.08653,1.91957,1.16388,0.0007328,0.0007328,0.0007328
130,147.852,0.3987,1.1115,0.97209,0.97723,1,0.995,0.60175,1.08653,1.91957,1.16388,0.0007229,0.0007229,0.0007229
131,148.997,0.48235,0.85615,0.91673,0.97723,1,0.995,0.60175,1.08653,1.91957,1.16388,0.000713,0.000713,0.000713
132,150.096,0.51434,0.90733,0.94865,0.97128,1,0.995,0.62101,1.18736,2.15156,1.32004,0.0007031,0.0007031,0.0007031
133,151.174,0.4903,0.77132,0.86064,0.97128,1,0.995,0.62101,1.18736,2.15156,1.32004,0.0006932,0.0006932,0.0006932
134,152.286,0.45891,0.79202,0.98532,0.97128,1,0.995,0.62101,1.18736,2.15156,1.32004,0.0006833,0.0006833,0.0006833
135,153.414,0.67624,0.85915,0.95064,0.97128,1,0.995,0.62101,1.18736,2.15156,1.32004,0.0006734,0.0006734,0.0006734
136,154.566,0.48697,0.98948,1.04029,1,0.99153,0.995,0.60321,1.10569,2.20463,1.37214,0.0006635,0.0006635,0.0006635
137,156.006,0.51266,0.81955,0.90843,1,0.99153,0.995,0.60321,1.10569,2.20463,1.37214,0.0006536,0.0006536,0.0006536
